game_id,white,black,white_elo,black_elo,chess_fen,move_made
1,ManelSpeedy,EulerE,1308,1284,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e2e4
1,ManelSpeedy,EulerE,1308,1284,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,e7e5
1,ManelSpeedy,EulerE,1308,1284,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,g1f3
1,ManelSpeedy,EulerE,1308,1284,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,b8c6
1,ManelSpeedy,EulerE,1308,1284,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,d2d3
1,ManelSpeedy,EulerE,1308,1284,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R w KQkq - 1 4,g8f6
1,ManelSpeedy,EulerE,1308,1284,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3P1N2/PPP1BPPP/RNBQK2R b KQkq - 2 4,f1e2
1,ManelSpeedy,EulerE,1308,1284,r1bqkb1r/pppp1p1p/2n2np1/4p3/4P3/3P1N2/PPP1BPPP/RNBQK2R w KQkq - 0 5,g7g6
1,ManelSpeedy,EulerE,1308,1284,r1bqkb1r/pppp1p1p/2n2np1/4p3/4P3/3P1N2/PPP1BPPP/RNBQ1RK1 b kq - 1 5,e1g1
1,ManelSpeedy,EulerE,1308,1284,r1bqk2r/pppp1pbp/2n2np1/4p3/4P3/3P1N2/PPP1BPPP/RNBQ1RK1 w kq - 2 6,f8g7
1,ManelSpeedy,EulerE,1308,1284,r1bqk2r/pppp1pbp/2n2np1/4p3/4P3/2NP1N2/PPP1BPPP/R1BQ1RK1 b kq - 3 6,b1c3
1,ManelSpeedy,EulerE,1308,1284,r1bq1rk1/pppp1pbp/2n2np1/4p3/4P3/2NP1N2/PPP1BPPP/R1BQ1RK1 w - - 4 7,e8g8
1,ManelSpeedy,EulerE,1308,1284,r1bq1rk1/pppp1pbp/2n2np1/4p3/4P3/2NPBN2/PPP1BPPP/R2Q1RK1 b - - 5 7,c1e3
1,ManelSpeedy,EulerE,1308,1284,r1bq1rk1/ppp2pbp/2n2np1/3pp3/4P3/2NPBN2/PPP1BPPP/R2Q1RK1 w - - 0 8,d7d5
1,ManelSpeedy,EulerE,1308,1284,r1bq1rk1/ppp2pbp/2n2np1/3Pp3/8/2NPBN2/PPP1BPPP/R2Q1RK1 b - - 0 8,e4d5
1,ManelSpeedy,EulerE,1308,1284,r1bq1rk1/ppp2pbp/2n3p1/3np3/8/2NPBN2/PPP1BPPP/R2Q1RK1 w - - 0 9,f6d5
1,ManelSpeedy,EulerE,1308,1284,r1bq1rk1/ppp2pbp/2n3p1/3Np3/8/3PBN2/PPP1BPPP/R2Q1RK1 b - - 0 9,c3d5
1,ManelSpeedy,EulerE,1308,1284,r1b2rk1/ppp2pbp/2n3p1/3qp3/8/3PBN2/PPP1BPPP/R2Q1RK1 w - - 0 10,d8d5
1,ManelSpeedy,EulerE,1308,1284,r1b2rk1/ppp2pbp/2n3p1/3qp3/8/3PBN1P/PPP1BPP1/R2Q1RK1 b - - 0 10,h2h3
1,ManelSpeedy,EulerE,1308,1284,r1b1r1k1/ppp2pbp/2n3p1/3qp3/8/3PBN1P/PPP1BPP1/R2Q1RK1 w - - 1 11,f8e8
1,ManelSpeedy,EulerE,1308,1284,r1b1r1k1/ppp2pbp/2n3p1/3qp3/8/2PPBN1P/PP2BPP1/R2Q1RK1 b - - 0 11,c2c3
1,ManelSpeedy,EulerE,1308,1284,r3r1k1/ppp2pbp/2n3p1/3qpb2/8/2PPBN1P/PP2BPP1/R2Q1RK1 w - - 1 12,c8f5
1,ManelSpeedy,EulerE,1308,1284,r3r1k1/ppp2pbp/2n3p1/3qpb2/8/2PPBN1P/PPQ1BPP1/R4RK1 b - - 2 12,d1c2
1,ManelSpeedy,EulerE,1308,1284,r3r1k1/ppp2pbp/2n3p1/3q1b2/4p3/2PPBN1P/PPQ1BPP1/R4RK1 w - - 0 13,e5e4
1,ManelSpeedy,EulerE,1308,1284,r3r1k1/ppp2pbp/2n3p1/3q1b2/4P3/2P1BN1P/PPQ1BPP1/R4RK1 b - - 0 13,d3e4
1,ManelSpeedy,EulerE,1308,1284,r3r1k1/ppp2pbp/2n3p1/3q4/4b3/2P1BN1P/PPQ1BPP1/R4RK1 w - - 0 14,f5e4
1,ManelSpeedy,EulerE,1308,1284,r3r1k1/ppp2pbp/2n3p1/3q4/4b3/2P1BN1P/PP2BPP1/R2Q1RK1 b - - 1 14,c2d1
1,ManelSpeedy,EulerE,1308,1284,3rr1k1/ppp2pbp/2n3p1/3q4/4b3/2P1BN1P/PP2BPP1/R2Q1RK1 w - - 2 15,a8d8
1,ManelSpeedy,EulerE,1308,1284,3rr1k1/ppp2pbp/2n3p1/3Q4/4b3/2P1BN1P/PP2BPP1/R4RK1 b - - 0 15,d1d5
1,ManelSpeedy,EulerE,1308,1284,3rr1k1/ppp2pbp/2n3p1/3b4/8/2P1BN1P/PP2BPP1/R4RK1 w - - 0 16,e4d5
1,ManelSpeedy,EulerE,1308,1284,3rr1k1/ppp2pbp/2n3p1/3b4/8/2P1BN1P/PP2BPP1/3R1RK1 b - - 1 16,a1d1
1,ManelSpeedy,EulerE,1308,1284,3rr1k1/ppp2pbp/2n3p1/8/4b3/2P1BN1P/PP2BPP1/3R1RK1 w - - 2 17,d5e4
1,ManelSpeedy,EulerE,1308,1284,3Rr1k1/ppp2pbp/2n3p1/8/4b3/2P1BN1P/PP2BPP1/5RK1 b - - 0 17,d1d8
1,ManelSpeedy,EulerE,1308,1284,3r2k1/ppp2pbp/2n3p1/8/4b3/2P1BN1P/PP2BPP1/5RK1 w - - 0 18,e8d8
1,ManelSpeedy,EulerE,1308,1284,3r2k1/ppp2pbp/2n3p1/8/4b3/2P1BN1P/PP2BPP1/3R2K1 b - - 1 18,f1d1
1,ManelSpeedy,EulerE,1308,1284,6k1/ppp2pbp/2n3p1/8/4b3/2P1BN1P/PP2BPP1/3r2K1 w - - 0 19,d8d1
1,ManelSpeedy,EulerE,1308,1284,6k1/ppp2pbp/2n3p1/8/4b3/2P1BN1P/PP3PP1/3B2K1 b - - 0 19,e2d1
1,ManelSpeedy,EulerE,1308,1284,6k1/ppp2pbp/2n3p1/8/8/2P1BN1P/PP3PP1/1b1B2K1 w - - 1 20,e4b1
1,ManelSpeedy,EulerE,1308,1284,6k1/ppp2pbp/2n3p1/8/8/P1P1BN1P/1P3PP1/1b1B2K1 b - - 0 20,a2a3
1,ManelSpeedy,EulerE,1308,1284,6k1/ppp2pbp/6p1/4n3/8/P1P1BN1P/1P3PP1/1b1B2K1 w - - 1 21,c6e5
1,ManelSpeedy,EulerE,1308,1284,6k1/ppp2pbp/6p1/4N3/8/P1P1B2P/1P3PP1/1b1B2K1 b - - 0 21,f3e5
