game_id,white,black,white_elo,black_elo,chess_fen,move_made
1,EulerE,deviroz,793,756,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d2d4
1,EulerE,deviroz,793,756,rnbqkbnr/pppp1ppp/4p3/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,e7e6
1,EulerE,deviroz,793,756,rnbqkbnr/pppp1ppp/4p3/8/3P4/1P6/P1P1PPPP/RNBQKBNR b KQkq - 0 2,b2b3
1,EulerE,deviroz,793,756,r1bqkbnr/pppp1ppp/2n1p3/8/3P4/1P6/P1P1PPPP/RNBQKBNR w KQkq - 1 3,b8c6
1,EulerE,deviroz,793,756,r1bqkbnr/pppp1ppp/2n1p3/8/3P4/1P4P1/P1P1PP1P/RNBQKBNR b KQkq - 0 3,g2g3
1,EulerE,deviroz,793,756,r1bqkbnr/ppp2ppp/2n1p3/3p4/3P4/1P4P1/P1P1PP1P/RNBQKBNR w KQkq - 0 4,d7d5
1,EulerE,deviroz,793,756,r1bqkbnr/ppp2ppp/2n1p3/3p4/3P4/1PP3P1/P3PP1P/RNBQKBNR b KQkq - 0 4,c2c3
1,EulerE,deviroz,793,756,r1bqkb1r/ppp2ppp/2n1pn2/3p4/3P4/1PP3P1/P3PP1P/RNBQKBNR w KQkq - 1 5,g8f6
1,EulerE,deviroz,793,756,r1bqkb1r/ppp2ppp/2n1pn2/3p4/1P1P4/2P3P1/P3PP1P/RNBQKBNR b KQkq - 0 5,b3b4
1,EulerE,deviroz,793,756,r1bqk2r/ppp2ppp/2nbpn2/3p4/1P1P4/2P3P1/P3PP1P/RNBQKBNR w KQkq - 1 6,f8d6
1,EulerE,deviroz,793,756,r1bqk2r/ppp2ppp/2nbpn2/3p4/1P1P4/2P3P1/P3PPBP/RNBQK1NR b KQkq - 2 6,f1g2
1,EulerE,deviroz,793,756,r2qk2r/pppb1ppp/2nbpn2/3p4/1P1P4/2P3P1/P3PPBP/RNBQK1NR w KQkq - 3 7,c8d7
1,EulerE,deviroz,793,756,r2qk2r/pppb1ppp/2nbpn2/3p4/1P1P4/2P2NP1/P3PPBP/RNBQK2R b KQkq - 4 7,g1f3
1,EulerE,deviroz,793,756,r2q1rk1/pppb1ppp/2nbpn2/3p4/1P1P4/2P2NP1/P3PPBP/RNBQK2R w KQ - 5 8,e8g8
1,EulerE,deviroz,793,756,r2q1rk1/pppb1ppp/2nbpn2/3p4/1P1P4/B1P2NP1/P3PPBP/RN1QK2R b KQ - 6 8,c1a3
1,EulerE,deviroz,793,756,r4rk1/pppbqppp/2nbpn2/3p4/1P1P4/B1P2NP1/P3PPBP/RN1QK2R w KQ - 7 9,d8e7
1,EulerE,deviroz,793,756,r4rk1/pppbqppp/2nbpn2/3p4/1P1P4/B1P2NP1/P2NPPBP/R2QK2R b KQ - 8 9,b1d2
1,EulerE,deviroz,793,756,r4rk1/pppbqppp/2nbp3/3p4/1P1P2n1/B1P2NP1/P2NPPBP/R2QK2R w KQ - 9 10,f6g4
1,EulerE,deviroz,793,756,r4rk1/pppbqppp/2nbp3/3p4/1P1P2n1/B1P2NPB/P2NPP1P/R2QK2R b KQ - 10 10,g2h3
1,EulerE,deviroz,793,756,r4rk1/pppbq1pp/2nbp3/3p1p2/1P1P2n1/B1P2NPB/P2NPP1P/R2QK2R w KQ - 0 11,f7f5
1,EulerE,deviroz,793,756,r4rk1/pppbq1pp/2nbp3/3p1p2/1P1P2B1/B1P2NP1/P2NPP1P/R2QK2R b KQ - 0 11,h3g4
1,EulerE,deviroz,793,756,r4rk1/pppbq1pp/2nbp3/3p4/1P1P2p1/B1P2NP1/P2NPP1P/R2QK2R w KQ - 0 12,f5g4
1,EulerE,deviroz,793,756,r4rk1/pppbq1pp/2nbp3/3p4/1P1PP1p1/B1P2NP1/P2N1P1P/R2QK2R b KQ - 0 12,e2e4
1,EulerE,deviroz,793,756,r4rk1/pppbq1pp/2nbp3/3p4/1P1PP3/B1P2pP1/P2N1P1P/R2QK2R w KQ - 0 13,g4f3
1,EulerE,deviroz,793,756,r4rk1/pppbq1pp/2nbp3/3P4/1P1P4/B1P2pP1/P2N1P1P/R2QK2R b KQ - 0 13,e4d5
1,EulerE,deviroz,793,756,r4rk1/pppbq1pp/2nb4/3p4/1P1P4/B1P2pP1/P2N1P1P/R2QK2R w KQ - 0 14,e6d5
1,EulerE,deviroz,793,756,r4rk1/pppbq1pp/2nb4/3p4/1P1P4/B1P2pP1/P2N1P1P/R2Q1K1R b - - 1 14,e1f1
1,EulerE,deviroz,793,756,4rrk1/pppbq1pp/2nb4/3p4/1P1P4/B1P2pP1/P2N1P1P/R2Q1K1R w - - 2 15,a8e8
1,EulerE,deviroz,793,756,4rrk1/pppbq1pp/2nb4/3p4/1P1P3P/B1P2pP1/P2N1P2/R2Q1K1R b - - 0 15,h2h4
1,EulerE,deviroz,793,756,4rrk1/ppp1q1pp/2nb4/3p4/1P1P2bP/B1P2pP1/P2N1P2/R2Q1K1R w - - 1 16,d7g4
1,EulerE,deviroz,793,756,4rrk1/ppp1q1pp/2nb4/3p4/1P1P2bP/B1P2pP1/P2N1P2/R2Q2KR b - - 2 16,f1g1
1,EulerE,deviroz,793,756,4rrk1/ppp1q1pp/2nb4/3p4/1P1P3P/B1P2pPb/P2N1P2/R2Q2KR w - - 3 17,g4h3
1,EulerE,deviroz,793,756,4rrk1/ppp1q1pp/2nb4/3p4/1P1P3P/B1P2pPb/P2N1P1K/R2Q3R b - - 4 17,g1h2
1,EulerE,deviroz,793,756,4rrk1/ppp3pp/2nbq3/3p4/1P1P3P/B1P2pPb/P2N1P1K/R2Q3R w - - 5 18,e7e6
1,EulerE,deviroz,793,756,4rrk1/ppp3pp/2nbq3/3p4/1P1P3P/B1P2pPb/P4P1K/RN1Q3R b - - 6 18,d2b1
1,EulerE,deviroz,793,756,4rrk1/ppp3pp/2nb4/3p4/1P1P2qP/B1P2pPb/P4P1K/RN1Q3R w - - 7 19,e6g4
1,EulerE,deviroz,793,756,4rrk1/ppp3pp/2nb4/1P1p4/3P2qP/B1P2pPb/P4P1K/RN1Q3R b - - 0 19,b4b5
1,EulerE,deviroz,793,756,4rrk1/ppp3pp/3b4/nP1p4/3P2qP/B1P2pPb/P4P1K/RN1Q3R w - - 1 20,c6a5
1,EulerE,deviroz,793,756,4rrk1/ppp3pp/3B4/nP1p4/3P2qP/2P2pPb/P4P1K/RN1Q3R b - - 0 20,a3d6
1,EulerE,deviroz,793,756,4rrk1/pp4pp/3p4/nP1p4/3P2qP/2P2pPb/P4P1K/RN1Q3R w - - 0 21,c7d6
1,EulerE,deviroz,793,756,4rrk1/pp4pp/3p4/nP1p4/3P2qP/2P2pPb/P2N1P1K/R2Q3R b - - 1 21,b1d2
1,EulerE,deviroz,793,756,4rrk1/pp4pp/3p4/1P1p4/2nP2qP/2P2pPb/P2N1P1K/R2Q3R w - - 2 22,a5c4
1,EulerE,deviroz,793,756,4rrk1/pp4pp/3p4/1P1p4/2NP2qP/2P2pPb/P4P1K/R2Q3R b - - 0 22,d2c4
1,EulerE,deviroz,793,756,4rrk1/pp4pp/3p4/1P6/2pP2qP/2P2pPb/P4P1K/R2Q3R w - - 0 23,d5c4
1,EulerE,deviroz,793,756,4rrk1/pp4pp/3p4/1P6/2pP2qP/2P2pPb/P4P1K/1R1Q3R b - - 1 23,a1b1
1,EulerE,deviroz,793,756,5rk1/pp4pp/3p4/1P6/2pP2qP/2P2pPb/P3rP1K/1R1Q3R w - - 2 24,e8e2
1,EulerE,deviroz,793,756,5rk1/pp4pp/3p4/1P6/2pP2qP/2P2pPb/P3rP2/1R1Q2KR b - - 3 24,h2g1
1,EulerE,deviroz,793,756,5rk1/pp4pp/3p4/1P6/2pP2qP/2P2pP1/P3rPb1/1R1Q2KR w - - 4 25,h3g2
1,EulerE,deviroz,793,756,5rk1/pp4pp/3p4/1P6/2pP2qP/2P2pP1/P3rPbR/1R1Q2K1 b - - 5 25,h1h2
1,EulerE,deviroz,793,756,5rk1/pp4pp/3p4/1P6/2pP2qP/2P2pPb/P3rP1R/1R1Q2K1 w - - 6 26,g2h3
1,EulerE,deviroz,793,756,5rk1/pp4pp/1P1p4/8/2pP2qP/2P2pPb/P3rP1R/1R1Q2K1 b - - 0 26,b5b6
1,EulerE,deviroz,793,756,5rk1/pp4pp/1P1p4/8/2pPq2P/2P2pPb/P3rP1R/1R1Q2K1 w - - 1 27,g4e4
1,EulerE,deviroz,793,756,5rk1/pp4pp/1P1p4/8/2pPq2P/2P2pPR/P3rP2/1R1Q2K1 b - - 0 27,h2h3
1,EulerE,deviroz,793,756,5rk1/pp4pp/1P1p4/8/2pPq2P/2P2pPR/P4P2/1R1Qr1K1 w - - 1 28,e2e1
1,EulerE,deviroz,793,756,5rk1/pp4pp/1P1p4/8/2pPq2P/2P2pPR/P4P2/1R2Q1K1 b - - 0 28,d1e1
1,EulerE,deviroz,793,756,5rk1/pp4pp/1P1p4/8/2pP3P/2P2pPR/P4P2/1R2q1K1 w - - 0 29,e4e1
1,EulerE,deviroz,793,756,5rk1/pp4pp/1P1p4/8/2pP3P/2P2pPR/P4P2/4R1K1 b - - 0 29,b1e1
1,EulerE,deviroz,793,756,5rk1/1p4pp/1p1p4/8/2pP3P/2P2pPR/P4P2/4R1K1 w - - 0 30,a7b6
2,EulerE,sarthak454,801,768,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d2d4
2,EulerE,sarthak454,801,768,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,d7d5
2,EulerE,sarthak454,801,768,rnbqkbnr/ppp1pppp/8/3p4/3P4/6P1/PPP1PP1P/RNBQKBNR b KQkq - 0 2,g2g3
2,EulerE,sarthak454,801,768,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/6P1/PPP1PP1P/RNBQKBNR w KQkq - 1 3,g8f6
2,EulerE,sarthak454,801,768,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/6P1/PPP1PPBP/RNBQK1NR b KQkq - 2 3,f1g2
2,EulerE,sarthak454,801,768,r1bqkb1r/ppp1pppp/2n2n2/3p4/3P4/6P1/PPP1PPBP/RNBQK1NR w KQkq - 3 4,b8c6
2,EulerE,sarthak454,801,768,r1bqkb1r/ppp1pppp/2n2n2/3p4/3P1P2/6P1/PPP1P1BP/RNBQK1NR b KQkq - 0 4,f2f4
2,EulerE,sarthak454,801,768,r1bqkb1r/ppp2ppp/2n1pn2/3p4/3P1P2/6P1/PPP1P1BP/RNBQK1NR w KQkq - 0 5,e7e6
2,EulerE,sarthak454,801,768,r1bqkb1r/ppp2ppp/2n1pn2/3p4/3P1P2/4P1P1/PPP3BP/RNBQK1NR b KQkq - 0 5,e2e3
2,EulerE,sarthak454,801,768,r1bqk2r/ppp2ppp/2n1pn2/3p4/1b1P1P2/4P1P1/PPP3BP/RNBQK1NR w KQkq - 1 6,f8b4
2,EulerE,sarthak454,801,768,r1bqk2r/ppp2ppp/2n1pn2/3p4/1b1P1P2/2P1P1P1/PP4BP/RNBQK1NR b KQkq - 0 6,c2c3
2,EulerE,sarthak454,801,768,r1bqk2r/ppp1bppp/2n1pn2/3p4/3P1P2/2P1P1P1/PP4BP/RNBQK1NR w KQkq - 1 7,b4e7
2,EulerE,sarthak454,801,768,r1bqk2r/ppp1bppp/2n1pn2/3p4/3P1P2/2P1P1P1/PP2N1BP/RNBQK2R b KQkq - 2 7,g1e2
2,EulerE,sarthak454,801,768,r1bq1rk1/ppp1bppp/2n1pn2/3p4/3P1P2/2P1P1P1/PP2N1BP/RNBQK2R w KQ - 3 8,e8g8
2,EulerE,sarthak454,801,768,r1bq1rk1/ppp1bppp/2n1pn2/3p4/3P1P2/2P1P1P1/PP2N1BP/RNBQ1RK1 b - - 4 8,e1g1
2,EulerE,sarthak454,801,768,r1bq1rk1/ppp1bppp/2n1p3/3p3n/3P1P2/2P1P1P1/PP2N1BP/RNBQ1RK1 w - - 5 9,f6h5
2,EulerE,sarthak454,801,768,r1bq1rk1/ppp1bppp/2n1p3/3p3n/3P1P2/2P1PBP1/PP2N2P/RNBQ1RK1 b - - 6 9,g2f3
2,EulerE,sarthak454,801,768,r1bq1rk1/ppp1bp1p/2n1p1p1/3p3n/3P1P2/2P1PBP1/PP2N2P/RNBQ1RK1 w - - 0 10,g7g6
2,EulerE,sarthak454,801,768,r1bq1rk1/ppp1bp1p/2n1p1p1/3p3B/3P1P2/2P1P1P1/PP2N2P/RNBQ1RK1 b - - 0 10,f3h5
2,EulerE,sarthak454,801,768,r1bq1rk1/ppp1bp1p/2n1p3/3p3p/3P1P2/2P1P1P1/PP2N2P/RNBQ1RK1 w - - 0 11,g6h5
2,EulerE,sarthak454,801,768,r1bq1rk1/ppp1bp1p/2n1p3/3p3p/1P1P1P2/2P1P1P1/P3N2P/RNBQ1RK1 b - - 0 11,b2b4
2,EulerE,sarthak454,801,768,rnbq1rk1/ppp1bp1p/4p3/3p3p/1P1P1P2/2P1P1P1/P3N2P/RNBQ1RK1 w - - 1 12,c6b8
2,EulerE,sarthak454,801,768,rnbq1rk1/ppp1bp1p/4p3/3p3p/1P1P1P2/B1P1P1P1/P3N2P/RN1Q1RK1 b - - 2 12,c1a3
2,EulerE,sarthak454,801,768,rnbq1rk1/pp2bp1p/2p1p3/3p3p/1P1P1P2/B1P1P1P1/P3N2P/RN1Q1RK1 w - - 0 13,c7c6
2,EulerE,sarthak454,801,768,rnbq1rk1/pp2bp1p/2p1p3/3p3p/1P1P1P2/B1P1P1P1/P2NN2P/R2Q1RK1 b - - 1 13,b1d2
