game_id,white,black,white_elo,black_elo,chess_fen,move_made
1,EulerE,bochaponce,1176,1222,rnbqkbnr/pppppppp/8/8/7P/8/PPPPPPP1/RNBQKBNR b KQkq - 0 1,h2h4
1,EulerE,bochaponce,1176,1222,rnbqkbnr/p1pppppp/1p6/8/7P/8/PPPPPPP1/RNBQKBNR w KQkq - 0 2,b7b6
1,EulerE,bochaponce,1176,1222,rnbqkbnr/p1pppppp/1p6/7P/8/8/PPPPPPP1/RNBQKBNR b KQkq - 0 2,h4h5
1,EulerE,bochaponce,1176,1222,rn1qkbnr/pbpppppp/1p6/7P/8/8/PPPPPPP1/RNBQKBNR w KQkq - 1 3,c8b7
1,EulerE,bochaponce,1176,1222,rn1qkbnr/pbpppppp/1p5P/8/8/8/PPPPPPP1/RNBQKBNR b KQkq - 0 3,h5h6
1,EulerE,bochaponce,1176,1222,rn1qkbnr/pbpppp1p/1p5p/8/8/8/PPPPPPP1/RNBQKBNR w KQkq - 0 4,g7h6
1,EulerE,bochaponce,1176,1222,rn1qkbnr/pbpppp1p/1p5p/8/6P1/8/PPPPPP2/RNBQKBNR b KQkq - 0 4,g2g4
1,EulerE,bochaponce,1176,1222,rn1qkbnr/pbp1pp1p/1p1p3p/8/6P1/8/PPPPPP2/RNBQKBNR w KQkq - 0 5,d7d6
1,EulerE,bochaponce,1176,1222,rn1qkbnr/pbp1pp1p/1p1p3p/8/6P1/5N2/PPPPPP2/RNBQKB1R b KQkq - 1 5,g1f3
1,EulerE,bochaponce,1176,1222,r2qkbnr/pbp1pp1p/1pnp3p/8/6P1/5N2/PPPPPP2/RNBQKB1R w KQkq - 2 6,b8c6
1,EulerE,bochaponce,1176,1222,r2qkbnr/pbp1pp1p/1pnp3p/8/3P2P1/5N2/PPP1PP2/RNBQKB1R b KQkq - 0 6,d2d4
1,EulerE,bochaponce,1176,1222,r2qkbnr/pbp2p1p/1pnpp2p/8/3P2P1/5N2/PPP1PP2/RNBQKB1R w KQkq - 0 7,e7e6
1,EulerE,bochaponce,1176,1222,r2qkbnr/pbp2p1p/1pnpp2p/8/3P1BP1/5N2/PPP1PP2/RN1QKB1R b KQkq - 1 7,c1f4
1,EulerE,bochaponce,1176,1222,r2qkbnr/pbp4p/1pnppp1p/8/3P1BP1/5N2/PPP1PP2/RN1QKB1R w KQkq - 0 8,f7f6
1,EulerE,bochaponce,1176,1222,r2qkbnr/pbp4p/1pnppp1p/8/3P1BP1/5N2/PPP1PPB1/RN1QK2R b KQkq - 1 8,f1g2
1,EulerE,bochaponce,1176,1222,r3kbnr/pbp1q2p/1pnppp1p/8/3P1BP1/5N2/PPP1PPB1/RN1QK2R w KQkq - 2 9,d8e7
1,EulerE,bochaponce,1176,1222,r3kbnr/pbp1q2p/1pnppp1p/3P4/5BP1/5N2/PPP1PPB1/RN1QK2R b KQkq - 0 9,d4d5
1,EulerE,bochaponce,1176,1222,r3kbnr/pbp1q2p/1pnp1p1p/3p4/5BP1/5N2/PPP1PPB1/RN1QK2R w KQkq - 0 10,e6d5
1,EulerE,bochaponce,1176,1222,r3kbnr/pbp1q2p/1pnp1p1p/3Q4/5BP1/5N2/PPP1PPB1/RN2K2R b KQkq - 0 10,d1d5
1,EulerE,bochaponce,1176,1222,2kr1bnr/pbp1q2p/1pnp1p1p/3Q4/5BP1/5N2/PPP1PPB1/RN2K2R w KQ - 1 11,e8c8
1,EulerE,bochaponce,1176,1222,2kr1bnr/pbp1q2p/1pnp1p1p/3Q4/3N1BP1/8/PPP1PPB1/RN2K2R b KQ - 2 11,f3d4
1,EulerE,bochaponce,1176,1222,2kr1bnr/pbpq3p/1pnp1p1p/3Q4/3N1BP1/8/PPP1PPB1/RN2K2R w KQ - 3 12,e7d7
