game_id,white,black,white_elo,black_elo,chess_fen,move_made
1,EulerE,KingFish80,616,601,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d2d4
1,EulerE,KingFish80,616,601,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,d7d5
1,EulerE,KingFish80,616,601,rnbqkbnr/ppp1pppp/8/3p4/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,e2e4
1,EulerE,KingFish80,616,601,rnbqkbnr/ppp1pppp/8/8/3Pp3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,d5e4
1,EulerE,KingFish80,616,601,rnbqkbnr/ppp1pppp/8/8/3Pp3/5P2/PPP3PP/RNBQKBNR b KQkq - 0 3,f2f3
1,EulerE,KingFish80,616,601,rnbqkbnr/ppp1pppp/8/8/3P4/5p2/PPP3PP/RNBQKBNR w KQkq - 0 4,e4f3
1,EulerE,KingFish80,616,601,rnbqkbnr/ppp1pppp/8/8/3P4/2N2p2/PPP3PP/R1BQKBNR b KQkq - 1 4,b1c3
1,EulerE,KingFish80,616,601,rnbqkbnr/ppp1pppp/8/8/3P4/2N5/PPP3pP/R1BQKBNR w KQkq - 0 5,f3g2
1,EulerE,KingFish80,616,601,rnbqkbnr/ppp1pppp/8/8/3P4/2N5/PPP3BP/R1BQK1NR b KQkq - 0 5,f1g2
1,EulerE,KingFish80,616,601,rnbqkbnr/ppp2ppp/4p3/8/3P4/2N5/PPP3BP/R1BQK1NR w KQkq - 0 6,e7e6
1,EulerE,KingFish80,616,601,rnbqkbnr/ppp2ppp/4p3/8/3P4/2N2N2/PPP3BP/R1BQK2R b KQkq - 1 6,g1f3
1,EulerE,KingFish80,616,601,rnbqkbnr/ppp3pp/4p3/5p2/3P4/2N2N2/PPP3BP/R1BQK2R w KQkq - 0 7,f7f5
1,EulerE,KingFish80,616,601,rnbqkbnr/ppp3pp/4p3/5p2/3P4/2N2N2/PPP3BP/R1BQ1RK1 b kq - 1 7,e1g1
1,EulerE,KingFish80,616,601,rnbqkb1r/ppp3pp/4p2n/5p2/3P4/2N2N2/PPP3BP/R1BQ1RK1 w kq - 2 8,g8h6
1,EulerE,KingFish80,616,601,rnbqkb1r/ppp3pp/4p2B/5p2/3P4/2N2N2/PPP3BP/R2Q1RK1 b kq - 0 8,c1h6
1,EulerE,KingFish80,616,601,rnbqkb1r/ppp4p/4p2p/5p2/3P4/2N2N2/PPP3BP/R2Q1RK1 w kq - 0 9,g7h6
1,EulerE,KingFish80,616,601,rnbqkb1r/ppp4p/4p2p/5p2/3P4/2N2N2/PPP3BP/R2QR1K1 b kq - 1 9,f1e1
1,EulerE,KingFish80,616,601,rnbqkbr1/ppp4p/4p2p/5p2/3P4/2N2N2/PPP3BP/R2QR1K1 w q - 2 10,h8g8
1,EulerE,KingFish80,616,601,rnbqkbr1/ppp4p/4p2p/3P1p2/8/2N2N2/PPP3BP/R2QR1K1 b q - 0 10,d4d5
1,EulerE,KingFish80,616,601,rnbqkbr1/pp5p/2p1p2p/3P1p2/8/2N2N2/PPP3BP/R2QR1K1 w q - 0 11,c7c6
1,EulerE,KingFish80,616,601,rnbqkbr1/pp5p/2p1P2p/5p2/8/2N2N2/PPP3BP/R2QR1K1 b q - 0 11,d5e6
1,EulerE,KingFish80,616,601,rnb1kbr1/pp2q2p/2p1P2p/5p2/8/2N2N2/PPP3BP/R2QR1K1 w q - 1 12,d8e7
1,EulerE,KingFish80,616,601,rnb1kbr1/pp2q2p/2p1P2p/5p2/1P6/2N2N2/P1P3BP/R2QR1K1 b q - 0 12,b2b4
1,EulerE,KingFish80,616,601,rnb1kbr1/pp4qp/2p1P2p/5p2/1P6/2N2N2/P1P3BP/R2QR1K1 w q - 1 13,e7g7
1,EulerE,KingFish80,616,601,rnb1kbr1/pp4qp/2p1P2p/5p2/NP6/5N2/P1P3BP/R2QR1K1 b q - 2 13,c3a4
1,EulerE,KingFish80,616,601,rnb1kbr1/pp5p/2p1P2p/5p2/NP6/5N2/P1P3qP/R2QR1K1 w q - 0 14,g7g2
2,BadPlayer555555,EulerE,651,617,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d2d4
2,BadPlayer555555,EulerE,651,617,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,d7d5
2,BadPlayer555555,EulerE,651,617,rnbqkbnr/ppp1pppp/8/3p4/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,e2e4
2,BadPlayer555555,EulerE,651,617,rnbqkbnr/ppp1pppp/8/8/3Pp3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,d5e4
2,BadPlayer555555,EulerE,651,617,rnbqkbnr/ppp1pppp/8/3P4/4p3/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,d4d5
2,BadPlayer555555,EulerE,651,617,rnbqkbnr/pp2pppp/2p5/3P4/4p3/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,c7c6
2,BadPlayer555555,EulerE,651,617,rnbqkbnr/pp2pppp/2p5/3P4/4p3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 4,b1c3
2,BadPlayer555555,EulerE,651,617,rnbqkbnr/pp3ppp/2p1p3/3P4/4p3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 5,e7e6
2,BadPlayer555555,EulerE,651,617,rnbqkbnr/pp3ppp/2p1P3/8/4p3/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 5,d5e6
2,BadPlayer555555,EulerE,651,617,rnb1kbnr/pp3ppp/2p1P3/8/4p3/2N5/PPP2PPP/R1BqKBNR w KQkq - 0 6,d8d1
2,BadPlayer555555,EulerE,651,617,rnb1kbnr/pp3ppp/2p1P3/8/4p3/2N5/PPP2PPP/R1BK1BNR b kq - 0 6,e1d1
2,BadPlayer555555,EulerE,651,617,rn2kbnr/pp3ppp/2p1b3/8/4p3/2N5/PPP2PPP/R1BK1BNR w kq - 0 7,c8e6
