game_id,white,black,white_elo,black_elo,chess_fen,move_made
1,EulerE,ChessMehte,700,676,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d2d4
1,EulerE,ChessMehte,700,676,rnbqkbnr/pp1ppppp/2p5/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,c7c6
1,EulerE,ChessMehte,700,676,rnbqkbnr/pp1ppppp/2p5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,e2e4
1,EulerE,ChessMehte,700,676,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,d7d5
1,EulerE,ChessMehte,700,676,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 3,b1c3
1,EulerE,ChessMehte,700,676,rnbqkbnr/pp2pppp/2p5/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,d5e4
1,EulerE,ChessMehte,700,676,rnbqkbnr/pp2pppp/2p5/8/3PN3/8/PPP2PPP/R1BQKBNR b KQkq - 0 4,c3e4
1,EulerE,ChessMehte,700,676,rnbqkbnr/pp3ppp/2p1p3/8/3PN3/8/PPP2PPP/R1BQKBNR w KQkq - 0 5,e7e6
1,EulerE,ChessMehte,700,676,rnbqkbnr/pp3ppp/2p1p3/8/3PN3/1P6/P1P2PPP/R1BQKBNR b KQkq - 0 5,b2b3
1,EulerE,ChessMehte,700,676,rnbqk1nr/pp3ppp/2p1p3/8/1b1PN3/1P6/P1P2PPP/R1BQKBNR w KQkq - 1 6,f8b4
1,EulerE,ChessMehte,700,676,rnbqk1nr/pp3ppp/2p1p3/8/1b1PN3/1P6/P1PB1PPP/R2QKBNR b KQkq - 2 6,c1d2
1,EulerE,ChessMehte,700,676,rnb1k1nr/pp3ppp/2p1p3/q7/1b1PN3/1P6/P1PB1PPP/R2QKBNR w KQkq - 3 7,d8a5
1,EulerE,ChessMehte,700,676,rnb1k1nr/pp3ppp/2pNp3/q7/1b1P4/1P6/P1PB1PPP/R2QKBNR b KQkq - 4 7,e4d6
1,EulerE,ChessMehte,700,676,rnb1k1nr/pp3ppp/2pbp3/q7/3P4/1P6/P1PB1PPP/R2QKBNR w KQkq - 0 8,b4d6
1,EulerE,ChessMehte,700,676,rnb1k1nr/pp3ppp/2pbp3/B7/3P4/1P6/P1P2PPP/R2QKBNR b KQkq - 0 8,d2a5
2,IHeartVIs,EulerE,680,700,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d2d4
2,IHeartVIs,EulerE,680,700,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,d7d5
2,IHeartVIs,EulerE,680,700,rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 1 2,c1f4
2,IHeartVIs,EulerE,680,700,r1bqkbnr/ppp1pppp/2n5/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq - 2 3,b8c6
2,IHeartVIs,EulerE,680,700,r1bqkbnr/ppp1pppp/2n5/3p4/3P1B2/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,e2e3
2,IHeartVIs,EulerE,680,700,r1bqkbnr/ppp2ppp/2n1p3/3p4/3P1B2/4P3/PPP2PPP/RN1QKBNR w KQkq - 0 4,e7e6
2,IHeartVIs,EulerE,680,700,r1bqkbnr/ppp2ppp/2n1p3/3p4/3P1B2/3BP3/PPP2PPP/RN1QK1NR b KQkq - 1 4,f1d3
2,IHeartVIs,EulerE,680,700,r1bqkbnr/ppp2p1p/2n1p3/3p2p1/3P1B2/3BP3/PPP2PPP/RN1QK1NR w KQkq - 0 5,g7g5
2,IHeartVIs,EulerE,680,700,r1bqkbnr/ppp2p1p/2n1p3/3p2p1/3P4/3BP1B1/PPP2PPP/RN1QK1NR b KQkq - 1 5,f4g3
2,IHeartVIs,EulerE,680,700,r1bqkb1r/ppp2p1p/2n1pn2/3p2p1/3P4/3BP1B1/PPP2PPP/RN1QK1NR w KQkq - 2 6,g8f6
2,IHeartVIs,EulerE,680,700,r1bqkb1r/ppp2p1p/2n1pn2/3p2p1/3P4/3BP1B1/PPPN1PPP/R2QK1NR b KQkq - 3 6,b1d2
2,IHeartVIs,EulerE,680,700,r1bqk2r/ppp2p1p/2n1pn2/3p2p1/1b1P4/3BP1B1/PPPN1PPP/R2QK1NR w KQkq - 4 7,f8b4
2,IHeartVIs,EulerE,680,700,r1bqk2r/ppp2p1p/2n1pn2/3p2p1/1b1P4/2PBP1B1/PP1N1PPP/R2QK1NR b KQkq - 0 7,c2c3
2,IHeartVIs,EulerE,680,700,r1bqk2r/ppp2p1p/2nbpn2/3p2p1/3P4/2PBP1B1/PP1N1PPP/R2QK1NR w KQkq - 1 8,b4d6
2,IHeartVIs,EulerE,680,700,r1bqk2r/ppp2p1p/2nbpn2/3p2p1/3P4/2PBPNB1/PP1N1PPP/R2QK2R b KQkq - 2 8,g1f3
2,IHeartVIs,EulerE,680,700,r1bqk2r/ppp2p1p/2n1pn2/3p2p1/3P4/2PBPNb1/PP1N1PPP/R2QK2R w KQkq - 0 9,d6g3
